127.0.0.1, 2014-12-18 17:40:18, GET, /, HTTP/1.1, 303, 0.015000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.360000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:19, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:21, GET, /admin/default/index, HTTP/1.1, 200, 0.078000
127.0.0.1, 2014-12-18 17:40:21, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-12-18 17:40:21, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-12-18 17:40:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-18 17:40:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-18 17:40:24, POST, /admin/default/index, HTTP/1.1, 303, 0.062000
127.0.0.1, 2014-12-18 17:40:24, GET, /admin/default/site, HTTP/1.1, 200, 0.079000
127.0.0.1, 2014-12-18 17:40:25, POST, /admin/default/check_version, HTTP/1.1, 200, 0.281000
127.0.0.1, 2014-12-18 17:40:28, GET, /admin/default/uninstall/examples, HTTP/1.1, 200, 0.047000
127.0.0.1, 2014-12-18 17:40:34, POST, /admin/default/uninstall/examples, HTTP/1.1, 303, 4.078000
127.0.0.1, 2014-12-18 17:40:35, GET, /admin/default/site, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-12-18 17:40:35, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 17:40:35, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-18 17:40:37, GET, /admin/default/uninstall/welcome, HTTP/1.1, 200, 0.032000
127.0.0.1, 2014-12-18 17:40:39, POST, /admin/default/uninstall/welcome, HTTP/1.1, 303, 0.157000
127.0.0.1, 2014-12-18 17:40:39, GET, /admin/default/site, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-12-18 17:40:45, POST, /admin/default/site, HTTP/1.1, 303, 0.203000
127.0.0.1, 2014-12-18 17:40:45, GET, /admin/default/design/cliente, HTTP/1.1, 200, 0.172000
127.0.0.1, 2014-12-18 17:40:45, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-12-18 17:40:45, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:40:45, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-12-18 17:40:45, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.032000
127.0.0.1, 2014-12-18 17:58:38, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2014-12-18 17:58:38, GET, /welcome/default/index, HTTP/1.1, 404, 0.001000
127.0.0.1, 2014-12-18 17:58:44, GET, /welcome/default/index, HTTP/1.1, 404, 0.000000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente, HTTP/1.1, 200, 8.258000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/css/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/js/jquery.js, HTTP/1.1, 200, 0.090000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.070000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/js/share.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/js/calendar.js, HTTP/1.1, 200, 0.177000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.137000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/js/web2py.js, HTTP/1.1, 200, 0.202000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/logos_header, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/logos_footer, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-18 17:59:02, GET, /cliente/static/images/gplus-32.png, HTTP/1.1, 200, 0.003000
